Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
146794,PARTYNEXTDOOR,Her Way - Sped Up,0T7dLau2Ccr9CbeXtOB4vU,74,2014,pop,0.459,0.521,1,-9.426,0,0.0342,0.0541,0.00396,0.104,0.122,132.163,182164,4
271175,Mac DeMarco,Moonlight on the River,2fhOljbX79loRcdl47SFye,74,2017,edm,0.662,0.478,9,-8.631,1,0.0451,0.252,0.833,0.216,0.43,139.98,422613,4
520500,Edgardo Nuñez,El Ruddy,0vNtFN67TIMgDokyyuUUwA,74,2021,sad,0.736,0.593,7,-9.364,1,0.184,0.117,2.5e-06,0.189,0.785,114.196,183595,1
66281,Robin Thicke,Blurred Lines,0n4bITAu0Y0nigrz3MFJMb,74,2013,dance,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,263827,4
197531,The Weeknd,Acquainted,7uJH0YdSZL6psjxI6Xy08b,74,2015,pop,0.372,0.478,7,-9.835,0,0.0503,0.482,0.0,0.0844,0.254,101.102,348853,4
272519,XXXTENTACION,YuNg BrAtZ,2ooF4088y5L72c4YTEJQoB,74,2017,emo,0.755,0.695,9,-5.963,1,0.26,0.0179,0.0,0.107,0.493,128.063,101851,4
197523,Jeremih,oui,0PJIbOdMs3bd5AT8liULMQ,74,2015,pop,0.418,0.724,5,-3.724,1,0.0964,0.213,0.0,0.112,0.604,78.521,238320,5
288485,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"")",2FCXQHugkoHE1K3tiDu8pu,74,2017,k-pop,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925,341055,4
197525,Shawn Mendes,Stitches,5jsw9uXEGuKyJzs0boZ1bT,74,2015,pop,0.752,0.754,1,-6.684,1,0.0615,0.0151,0.0,0.0486,0.755,149.789,206880,4
342782,Mitski,Me and My Husband,3pANfZVFdtuVnJsE6xa5Ox,74,2018,indie-pop,0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,137142,4
342783,Lonely God,Marlboro Nights,755inykyaG4w22GWAsA3MX,74,2018,indie-pop,0.466,0.823,2,-6.635,1,0.311,0.00237,0.000321,0.332,0.782,175.797,68523,4
1191174,Deftones,Sextape,1EryAkZ0VHstC6haIxVBiE,74,2008,alt-rock,0.367,0.634,5,-6.475,1,0.027,0.000824,0.0759,0.116,0.0964,89.981,241533,4
367647,Rammstein,Deutschland,2bPGTMB5sFfFYQ2YvSmup0,74,2019,alt-rock,0.521,0.895,7,-5.242,1,0.0442,5.54e-05,0.349,0.0985,0.237,120.117,322340,4
462060,Jawsh 685,Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c,74,2020,pop,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,171375,4
146766,Taylor Swift,Style,4lIxdJw6W3Fg4vUIYCB0S5,74,2014,pop,0.598,0.786,2,-5.572,1,0.0383,0.00253,0.0016,0.117,0.456,95.019,231000,4
483667,keshi,beside you,1Fhb9iJPufNMZSwupsXiRe,74,2021,chill,0.711,0.747,0,-6.335,1,0.0523,0.459,0.0,0.0957,0.852,136.0,166023,4
224500,Kygo,Firestone,1I8tHoNBFTuoJAlh4hfVVE,74,2016,dance,0.704,0.634,11,-7.374,0,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,271640,4
146809,Justin Bieber,Confident,3JsydWaf2Ev4ehaLUjj3SY,74,2014,pop,0.741,0.565,5,-5.448,0,0.108,0.114,0.0,0.205,0.892,134.122,248133,4
